,Principal Component 1,Principal Component 2,Labels,AL_Value,Status
0,-53.44957478428077,-9.78511038425033,2,0.13136691,Pool
1,-68.43353890308667,-10.944859201917243,2,0.029749671,Train
2,-24.884995000365173,7.445465644242809,1,0.05790703,Pool
3,-54.812879315839226,-12.274950960364006,2,0.12295823,Pool
4,22.193463121603656,0.6117282051381391,1,0.06544273,To sample
5,-42.3533117302646,2.676377151136975,2,0.41599718,Pool
6,-70.63728658759538,-16.24143905402204,2,0.15157181,Train
7,20.054866813463885,71.54824516177942,0,0.2818303,Train
8,-33.23625333574053,0.01337990569408027,2,0.04831989,Train
9,52.792861789378364,-38.9157398984648,0,0.09594396,Train
10,-65.0484748723603,-9.317074704677049,2,0.255899,Pool
11,23.60510100064612,29.859976753673898,1,0.0069651026,Train
12,63.27577371040357,-7.751671529240178,0,0.04460213,Pool
13,73.27785325593247,-8.95285484692562,0,0.34640285,Pool
14,-9.822956348647855,-14.757665887677945,1,0.0049375175,Train
15,-60.181784243206906,-12.46669906621758,2,0.40476644,Train
16,-41.909967407477154,11.399932675225834,2,0.23325607,Pool
17,-11.317398320844633,18.701474175811086,2,0.1783773,Train
18,47.803358077731566,-14.603173867803584,0,0.06980752,Train
19,-40.13451484012333,-25.1121570523928,2,0.3694852,Train
20,-21.196141258003067,13.658315866602372,1,0.0007004926,Train
21,72.32354656150342,-29.034788426034936,0,0.0055042515,Train
22,-24.614419177589955,9.94879701885134,1,0.00015028892,Pool
23,64.69764213936288,-36.61454796647918,0,0.81407124,Pool
24,-30.023785736860514,36.007775711051586,2,0.3004363,Train
25,52.73262284416293,47.80484536441255,1,0.30904046,Pool
26,0.8552220805416543,21.7574391599181,1,0.0014235175,Train
27,4.689077179481733,25.679411247376585,1,0.0025408103,Pool
28,82.47861370082838,-4.642192029607856,0,0.2258347,Train
29,43.458691583021185,38.01145967292785,0,0.065049015,Pool
30,109.15827971846468,59.65009038957988,1,0.06217689,Train
31,-0.16070664361599546,39.83055034687026,0,0.0046002837,Train
32,-21.72977824018877,7.794767726221987,1,0.00051772565,Pool
33,25.312724177479833,-8.056897231202043,0,0.21488413,Train
34,49.12459891153545,-11.485674552173544,0,0.94242054,Pool
35,-30.818043132739668,27.021547325896766,2,0.054220997,Train
36,-24.000157931974513,9.797392098219312,1,0.0008092471,Pool
37,49.26706406925587,-40.92801399169414,0,0.42874444,Train
38,50.603193024210555,-43.48533318141559,0,0.14401743,Train
39,25.90174353797462,-15.52543363196179,0,0.10876023,Train
40,-57.20507475902394,-6.599310422285924,2,0.2517641,Pool
41,42.55271707214043,37.686199832277076,1,0.012814656,Pool
42,60.79249800588554,-24.824944839739377,0,0.28988045,Train
43,-0.5173973270285959,22.852831761149456,1,0.00017903371,Pool
44,11.979412962773509,-3.8646995382735425,1,0.00529204,Pool
45,-20.3328520011646,-6.098552810283365,1,0.010626347,Pool
46,12.184769363682134,-30.841725186243586,0,0.031645812,Train
47,-79.83023139931107,-16.07779886048353,2,0.12841527,Train
48,-44.63326538067498,-7.642846589938124,2,0.7821049,Train
49,14.100542489104138,47.13596630664474,1,6.494585e-05,Pool
50,-26.273066806092032,-0.5289985017705513,1,0.004484402,Pool
51,-58.87012376094072,-15.78762722279095,2,0.12667856,Train
52,34.53813749769258,-34.24723487178777,0,0.067549825,Train
53,-17.940815607601678,9.897142638311907,1,0.076413795,Pool
54,-12.701274216413381,4.158562539182119,1,0.00048688735,Train
55,-18.88879710908674,11.797260140469085,1,3.9771763e-05,Pool
56,-66.36677290061273,-13.544359772014694,2,0.064302154,Train
57,-55.58258265235929,-7.61612861207933,2,0.19311135,Pool
58,-60.273232156990986,-9.492471078061628,2,0.0006244989,Train
59,23.29111653319257,7.708059640918885,0,0.025545487,Train
60,-27.264499723287777,34.57218393675151,2,0.5236262,Pool
61,69.16719171242858,-27.05071392229035,0,0.4189554,Train
62,0.7218315029075771,19.627319090136794,1,0.00072705245,Pool
63,-53.43873860124101,-8.414163491425304,2,0.15448456,Train
64,-53.730996191494256,-3.535286920672181,2,0.003214744,Train
65,-45.858583184103516,-0.5755737844070297,2,0.0021725674,Pool
66,10.632454551177755,18.30731087384547,1,4.5710633e-05,Pool
67,4.169592827612677,29.307008064130283,1,0.0029433707,To sample
68,-63.85605607393572,-7.106258270736107,2,0.096386954,Pool
69,57.98480272467697,-28.179352567673465,0,0.072577514,Pool
70,-55.345197093488814,-16.74446270771481,2,0.5058367,Train
71,61.76216806700711,-40.377347937289194,0,0.04937147,Train
72,-69.04922561496869,14.892417610507692,2,0.13520166,Train
73,35.57353746623945,5.689454462144555,0,0.1212665,Train
74,-9.034394014957664,13.839483117552998,1,0.0015400893,Pool
75,70.2771488472268,77.92731360786674,0,0.45333114,Train
76,53.12602990851849,-38.30340517196317,0,0.0989758,Pool
77,-10.291008040110773,10.672200680199284,1,0.004201273,Train
78,-20.818395212224786,14.034316452666799,1,0.06376361,Pool
79,87.85110817467408,11.51391459590811,1,0.004469583,Train
80,53.97739121699556,-37.478173147178005,0,0.51493776,To sample
81,39.99945138102966,-19.76841809746003,0,0.68436104,Train
82,82.81214185569253,-1.1566972464968783,0,0.01902898,Pool
83,-44.15224637101613,-10.202616954266182,2,0.113997065,Train
84,62.93401616153877,-27.02397112838754,0,0.0055476855,Train
85,-71.81409751050073,-35.54297912032343,2,0.006020402,Train
86,-26.486278274486,-1.6275126870048902,1,0.0011152315,Train
87,54.2530481185091,-12.211793314773626,0,1.0867596,To sample
88,-51.42907711384409,0.18245837814240326,2,0.05354888,Pool
