,train_loss,test_loss,train_acc,test_acc,epoch,lr,weight_decay,params_acc,last_model,current_indices,TaskLearner,ActiveLearn,train_size,pool_size,n,best_model
0,1.0671479105949402,1.1048535108566284,37.5,41.66666666666667,1,0.0001,5e-05,0.9333333333333332,0,"[42, 1, 70, 15, 17, 92, 54, 7, 71, 37, 93, 91, 56, 16, 51, 65]",MobileNet,Random,16,80,0,0
1,0.9752475321292876,1.0924256245295207,62.5,41.66666666666667,2,0.0001,5e-05,0.9333333333333332,0,"[42, 1, 70, 15, 17, 92, 54, 7, 71, 37, 93, 91, 56, 16, 51, 65]",MobileNet,Random,16,80,0,0
2,0.8888377845287323,1.0766387581825256,87.5,37.5,3,0.0001,5e-05,0.9333333333333332,0,"[42, 1, 70, 15, 17, 92, 54, 7, 71, 37, 93, 91, 56, 16, 51, 65]",MobileNet,Random,16,80,0,0
3,0.8774605691432953,1.0545807083447774,75.0,41.66666666666667,4,0.0001,5e-05,0.9333333333333332,0,"[42, 1, 70, 15, 17, 92, 54, 7, 71, 37, 93, 91, 56, 16, 51, 65]",MobileNet,Random,16,80,0,0
4,0.7267685681581497,1.0233887533346813,93.75,50.0,5,0.0001,5e-05,0.9333333333333332,0,"[42, 1, 70, 15, 17, 92, 54, 7, 71, 37, 93, 91, 56, 16, 51, 65]",MobileNet,Random,16,80,0,0
5,0.8013884723186493,0.9789819717407228,75.0,58.333333333333336,6,0.0001,5e-05,0.9333333333333332,0,"[42, 1, 70, 15, 17, 92, 54, 7, 71, 37, 93, 91, 56, 16, 51, 65]",MobileNet,Random,16,80,0,0
6,0.6931571364402771,0.942884107430776,93.75,62.5,7,0.0001,5e-05,0.9333333333333332,0,"[42, 1, 70, 15, 17, 92, 54, 7, 71, 37, 93, 91, 56, 16, 51, 65]",MobileNet,Random,16,80,0,0
7,0.6497287154197693,0.9053654273351034,93.75,70.83333333333334,8,0.0001,5e-05,0.9333333333333332,0,"[42, 1, 70, 15, 17, 92, 54, 7, 71, 37, 93, 91, 56, 16, 51, 65]",MobileNet,Random,16,80,0,0
8,0.6466061323881149,0.8629238605499268,93.75,75.0,9,0.0001,5e-05,0.9333333333333332,0,"[42, 1, 70, 15, 17, 92, 54, 7, 71, 37, 93, 91, 56, 16, 51, 65]",MobileNet,Random,16,80,0,0
9,0.6205487698316574,0.8536901573340098,100.0,75.0,10,0.0001,5e-05,0.9333333333333332,0,"[42, 1, 70, 15, 17, 92, 54, 7, 71, 37, 93, 91, 56, 16, 51, 65]",MobileNet,Random,16,80,0,0
10,0.5837863236665726,0.8279516498247782,100.0,83.33333333333334,11,0.0001,5e-05,0.9333333333333332,0,"[42, 1, 70, 15, 17, 92, 54, 7, 71, 37, 93, 91, 56, 16, 51, 65]",MobileNet,Random,16,80,0,0
11,0.7396828234195709,0.8135722080866495,81.25,83.33333333333334,12,0.0001,5e-05,0.9333333333333332,0,"[42, 1, 70, 15, 17, 92, 54, 7, 71, 37, 93, 91, 56, 16, 51, 65]",MobileNet,Random,16,80,0,0
12,0.6331255733966827,0.8088046312332153,100.0,83.33333333333334,13,0.0001,5e-05,0.9333333333333332,0,"[42, 1, 70, 15, 17, 92, 54, 7, 71, 37, 93, 91, 56, 16, 51, 65]",MobileNet,Random,16,80,0,0
