,Principal Component 1,Principal Component 2,Labels,AL_Value,Status
0,-53.44957478428072,-9.785110384192379,2,0.030384874,Pool
1,-68.43353890308657,-10.944859202062817,2,0.035849046,Train
2,-24.88499500036524,7.445465644245321,1,0.013243715,Pool
3,-54.81287931583911,-12.274950960328646,2,0.04084524,Pool
4,22.193463121603617,0.6117282052899654,1,0.023523396,Pool
5,-42.35331173026459,2.676377151045257,2,0.08689332,Pool
6,-70.6372865875952,-16.241439054144486,2,0.9617332,To sample
7,20.054866813463153,71.54824516221585,0,0.08588201,Train
8,-33.23625333574053,0.013379905798321315,2,0.8434889,Pool
9,52.79286178937874,-38.915739898321696,0,0.21073103,Pool
10,-65.0484748723602,-9.317074704684893,2,0.013158593,Pool
11,23.605101000645853,29.859976753661982,1,0.0019200499,Train
12,63.27577371040366,-7.751671529181212,0,0.17849272,Pool
13,73.27785325593258,-8.952854847191531,0,0.14009178,Pool
14,-9.822956348647734,-14.757665887391441,1,0.0007944481,Train
15,-60.18178424320683,-12.466699066198975,2,0.016554553,Train
16,-41.90996740747725,11.399932675111218,2,0.12687965,Pool
17,-11.317398320844806,18.70147417575311,2,0.015706606,Train
18,47.80335807773175,-14.603173868180722,0,1.0024842,To sample
19,-40.13451484012307,-25.112157052410627,2,0.11846961,Pool
20,-21.19614125800321,13.65831586657654,1,0.0024470377,Pool
21,72.32354656150373,-29.034788426009303,0,0.74455476,Pool
22,-24.614419177590044,9.948797018763099,1,0.01507116,Pool
23,64.69764213936323,-36.61454796652047,0,0.09465101,Train
24,-30.023785736860827,36.00777571083534,2,0.0046427166,Train
25,52.73262284416249,47.804845364285946,1,0.01718971,Pool
26,0.855222080541444,21.75743915991271,1,0.013171153,Pool
27,4.689077179481479,25.679411247436295,1,0.0016211676,Pool
28,82.47861370082845,-4.642192029442505,0,0.15255493,Pool
29,43.458691583020794,38.01145967290265,0,0.057946555,Pool
30,109.15827971846419,59.65009038954664,1,1.1177278,Train
31,-0.16070664361639977,39.83055034720212,0,0.9300457,To sample
32,-21.72977824018884,7.794767726186063,1,0.07764757,Pool
33,25.3127241774799,-8.056897231092128,0,0.07521599,Train
34,49.12459891153554,-11.485674552099486,0,0.08706012,Train
35,-30.81804313273992,27.021547325874973,2,0.12710635,Pool
36,-24.000157931974602,9.797392098275603,1,0.0010591422,Pool
37,49.267064069256236,-40.9280139915677,0,0.05721757,Train
38,50.60319302421094,-43.485333181326595,0,0.24805053,Train
39,25.901743537974767,-15.52543363185335,0,0.9128495,Pool
40,-57.20507475902389,-6.599310422197555,2,0.56306183,Pool
41,42.55271707214012,37.68619983212507,1,0.015426697,Pool
42,60.792498005885776,-24.824944839637052,0,0.12569433,Train
43,-0.5173973270288175,22.852831761208325,1,0.03422486,Pool
44,11.979412962773551,-3.8646995384083094,1,0.04575481,Pool
45,-20.332852001164554,-6.098552810063771,1,0.014053504,Pool
46,12.184769363682427,-30.841725186335754,0,0.08619903,Pool
47,-79.8302313993109,-16.077798860526112,2,0.0013616531,Pool
48,-44.633265380674914,-7.642846589903887,2,0.11291973,Pool
49,14.100542489103692,47.1359663066786,1,0.014922136,Pool
50,-26.273066806092025,-0.5289985017628799,1,0.006636552,Pool
51,-58.870123760940594,-15.787627222780285,2,0.015039693,Pool
52,34.53813749769293,-34.24723487197037,0,0.6148032,Pool
53,-17.94081560760176,9.897142638229564,1,0.31059772,Pool
54,-12.701274216413399,4.158562538949719,1,0.010395567,Train
55,-18.888797109086845,11.797260140351217,1,0.0048428727,Pool
56,-66.36677290061259,-13.54435977209101,2,0.031351734,Pool
57,-55.58258265235923,-7.6161286121647,2,0.7795167,Pool
58,-60.273232156990886,-9.492471078198852,2,0.1197896,Pool
59,23.29111653319249,7.708059640976348,0,0.026700042,Train
60,-27.26449972328811,34.572183936823116,2,0.023840792,Pool
61,69.1671917124289,-27.050713922447233,0,0.23004463,Train
62,0.7218315029073821,19.627319090239517,1,0.0049958443,Pool
63,-53.43873860124095,-8.414163491316092,2,0.024468904,Pool
64,-53.7309961914942,-3.5352869205910142,2,0.005822735,Pool
65,-45.858583184103516,-0.5755737844008597,2,0.0101304855,Pool
66,10.632454551177608,18.30731087362037,1,0.4249976,Pool
67,4.169592827612394,29.30700806422845,1,0.004212492,Pool
68,-63.856056073935626,-7.106258270794034,2,0.2273321,Pool
69,57.984802724677245,-28.179352567788413,0,0.40350875,Pool
70,-55.34519709348866,-16.74446270776163,2,0.0009918882,Train
71,61.76216806700754,-40.37734793751413,0,0.10695934,Train
72,-69.04922561496885,14.892417610568645,2,0.23177546,Pool
73,35.57353746623938,5.689454462226664,0,0.102342956,Train
74,-9.034394014957789,13.839483117499478,1,0.0073259925,Pool
75,70.2771488472261,77.92731360752292,0,0.47348255,Pool
76,53.12602990851883,-38.30340517184484,0,0.08384648,Pool
77,-10.291008040110851,10.67220067995852,1,0.0246698,Pool
78,-20.818395212224893,14.034316452592382,1,0.015877178,Pool
79,87.85110817467398,11.513914596084238,1,0.08227663,Train
80,53.977391216995905,-37.4781731469886,0,0.74374914,Pool
81,39.999451381029836,-19.768418097366286,0,0.23440543,Pool
82,82.81214185569259,-1.1566972465714054,0,0.085456476,Pool
83,-44.152246371016034,-10.20261695423509,2,0.3992002,Pool
84,62.93401616153904,-27.023971128342144,0,0.95167446,To sample
85,-71.81409751050037,-35.542979120399856,2,0.009951857,Pool
86,-26.48627827448599,-1.627512686930703,1,0.020356255,Pool
87,54.25304811850922,-12.211793314930205,0,0.5791075,Pool
88,-51.42907711384408,0.18245837822029806,2,8.589668e-05,Pool
89,-60.963693242880986,-13.620375515041653,2,0.32962093,Pool
90,56.962780434277654,4.586399974597354,0,0.15717736,Pool
91,4.426622598135176,26.82776224894381,1,0.0059018484,Train
92,-2.762172784163491,15.432292825100577,1,8.787916e-05,Train
93,-26.060577609510474,7.8683492846046175,1,0.0036672815,Train
94,54.18750951797128,-39.87684973675942,0,0.23972012,Pool
95,-53.32762774375252,-8.876252170003582,2,0.032942362,Pool
